Username;Comment
mrs_zara_uk;@roshanak.heidarii عزیزم من به شمارتون لینک رو فرستادم
_fatemeh.mh;@shimaaslanii @arezoo_ftl
shafiansanaz;هزینه اتوبوس چقدر میشه
the.holy7;بچه ها از مونستر کسی میره اون سمت؟
ansari_official_3;@mori_azmude برادر مرتضی گل خوبِ وین خودتی در خدمتیم❤️
amirbahariii;@mooonamoo 👏👏👏❤️
bella_javanbakht;@minahatami5544  Verden ??
_shermineh_;@nasimpvz @riyana_reyhaneh va  @__zahra_fa_
bella_javanbakht;@minahatami5544  Verden ??
_shermineh_;@nasimpvz با این دو‌نفر تماس بگیرید. دارن اتوبوس برای یک گروه کرایه میکنن
atefeh_aati;@homayoun_nasiri اره خیلی خوب میشه
ghazalsaf;@shadi_1620b از مونیخ اتوبوس گرفتن؟
mina_ntgh;@mahnaz.marandi مهناز من یکی رو پیدا کردم میخواد جمع کنه با اتوبوس برن من اسممو دادم
sh.tahiiiii;@shimaaslanii میشه لطفا متن‌و برای منم دایرکت کنین بتونم کپی کنم مرسی
ar2012anv;@s.natanzi تفرقه پراکنی شاخ و دم نداره ، برو خدا روزیت  رو جای دیگه حواله کنه
babak.nico.france;من از فرانسه
atefemrdn;@hanemat1360 ❤️❤️❤️
mina_ntgh;@homayoun_nasiri همایون من خیلیارو میدونم که میان اگه بوس بگیریم
_shermineh_;"با این دو‌نفر تماس بگیرید. دارن اتوبوس برای گروه های ۵۰ نفری کرایه میکنن 
@__zahra_fa_  @riyana_reyhaneh"
ghodsilida;"دوستان پاریسی عزیز سلام
ما در نظر داریم که اتوبوسی رو برای رفتن به برلین اجاره کنیم که بتونیم با هزینه کمترهمه در تظاهرات شرکت کنیم .
🚌ساعت حرکت :جمعه شب (حدود ساعت ۱۰شب) 
مسیر :حدودا ۱۲ساعت 
✌🏻تظاهرات 
🚌ساعت برگشت :شنبه (ساعت ۱۰ شب) 
براورد مبلغ حدودی که به من دادن ۶هزار یورو هست یعنی اگر ۳۰ نفر باشیم میشه نفری حدودا ۲۰۰ یورو
✅هر چقدر تعدادمون بیشتر باشه مثلا  (۵۰نفر) مبلغ کمتر میشه (۱۲۰یورو) 
✅دوشب را در اتوبوس می خوابیم که کمی سخت خواهد بود"
mahsa.salmasi;@shafiansanaz من از طرف سرپرست گروه مون پیغام را نوشتم. اجازه میدین حالا که شما جواب دادین به خودش بگم بیاد اطلاعات دقیق تری بده؟ تا جایی که من اطلاع دارم اتوبوس نفری صد و شصت میگیره برای رفت و برگشت.
roshanak_29;"@mrs_zara_uk کجا فرستادید 
نیومده واسم عزیز"
parjoa18;@zeyaey_a شما  سوییس زندگی میکنین؟
maryamrokn_;tanha hastin shoma?
_shermineh_;"@banuye.mahtab ‎با اینشون تماس بگیرید. دارن اتوبوس برای گروه های ۵۰ نفری کرایه میکنن 
@ryhne_ffm"
shafiansanaz;حتما
hanna_am96;از سوئیس کسی هست دوستان ؟؟ ممنون میشم
mahsa.salmasi;@shafiansanaz البته خودمون قصد داریم بلیط را تهیه کنیم. فقط اینکه چون هنوز قیمت بلیط بالاست و  ساعت طولانی هم راه هست ار رم تا برلین. دنبال کمک هزینه هستیم تا یک بخشی را بتونیم با کمک هزینه پوشش بدیم.
narimani3377;منم پایم بیام
samanehchegini;@mrs_zara_uk @rozita_khajeh
shiva_in_maasai_land;من از فلورانس هستم، اگر کسی میخواد بره منم هستم
ar2012anv;انشالا له زودی افغانستان هم آزاد بشه
faraneh.abbassian;@leila_sheikhansari میریم عزیزم
niloufar.ahmdi;@rahayoga.art بچه ها لطفا ب منم بگید منم ایتالیام ، اکه وسیله جور شد
mim.q4f;از هانوفر کسی هست برلین بره!؟
_shermineh_;@daradodange @8650.melody
shirin_dezfouli;🙌🙌
maryamrokn_;dustane berlini gharar hast k pooshesh bedan , ma ha hame unja elam kardim k cheghad ja darim, fekr mikonam k mehmanharo ba ma hamahang mikonan khodeshoon
mrs_zara_uk;@benyaminh2016 شمارهتون رو دایرکت کنید که به گروه ادتون کنم
mary1ghanbari;@maryamrokn_ بله
ghodsilida;"@ngnhjz دوستان پاریسی عزیز سلام
ما در نظر داریم که اتوبوسی رو برای رفتن به برلین اجاره کنیم که بتونیم با هزینه کمترهمه در تظاهرات شرکت کنیم .
🚌ساعت حرکت :جمعه شب (حدود ساعت ۱۰شب) 
مسیر :حدودا ۱۲ساعت 
✌🏻تظاهرات 
🚌ساعت برگشت :شنبه (ساعت ۱۰ شب) 
براورد مبلغ حدودی که به من دادن ۶هزار یورو هست یعنی اگر ۳۰ نفر باشیم میشه نفری حدودا ۲۰۰ یورو
✅هر چقدر تعدادمون بیشتر باشه مثلا  (۵۰نفر) مبلغ کمتر میشه (۱۲۰یورو) 
✅دوشب را در اتوبوس می خوابیم که کمی سخت خواهد بود"
hanna_am96;@pajalli دوست عزیز منم از زوریخم و تنهام ، اگه امکانش هست باهم بریم
mrs_zara_uk;@kamin_farhoodi شمارتونو دایرکت کنین به گروه ادتون کنم
parjoa18;@ghodsilida شما از سوئیس رد میشید؟
thetahaexperience;@marjan_roudgar دوستان یک گروه ساختن که رفت و برگشت با اتوبوس میرن. ولی یک شنبه بر میگردن. اگر میخاید بگید که لینکش رو بفرستم.. من خودم یک طرفه میرم و برلین میمونم مقداری. اگر کسی رو پیدا کردید که ببرتمون به من هم بگید 🙏
sh.tahiiiii;@sara_soley مواظب باشین فقط
mehrnaaz_frz;ما بلیط قطار گرفتیم . از کارلسروهه میاییم✌️
shahnahad.roya;قوم پرستي چي؟؟
mahsaaltafi;@spring_girllll_ سلام من و یک نفر دیگه هم هستیم از نورنبرگ، ولی وسیله ای نداریم، با قطار یا ماشین ممنون میشم بهم خبر بدین🙏
mary1ghanbari;@maryamrokn_ پس چه طور می تونم مطمئن باشم که حتما جایی دارم؟
nima_s_h23;کسی از konstanz، Radolfzell یا singen میره؟
_shermineh_;@nasimsoltani2021 @ng1366 @royaroubi @elahekiyani @soheilagodarziii @tara_azodi
pajalli;@hanna_am96 ما الان تقريبا ١٩ نفر شديم  كي تنهاس! دشمن! برات لينك تلگرام تيم رو مي فرستم
thetahaexperience;@mahshidrouzbahani اگر هنوز پیدا نکردی، من لینک یک گروه رو میتونم بفرستم که رفت و برگشت با اتوبوس میرن. من خودم نمیخام برگردم و دنبال سفر یک طرفه ام
sh.tahiiiii;@ykeshavarz لطفا مواظب باشین افراد ج. ا بینتون نیافته خیلی مکارن میدونین که
shahnahad.roya;@nahidsanganian عزيزم ، خدا بهمراهتون💚🤍❤️✌️
elhamasgary_pmu;🥺🥺ای خدا مرسی از همتون دست تک تکتونو میبوسم
hanna_am96;@assalrzz منم از زوریخ هستم لطفا کسی هست خبر بده
daneshvar.soheila;#mahsaamini
_shermineh_;@musti.mora ba in do nafar tamas begir @riyana_reyhaneh @__zahra_fa_
maryamrokn_;azizam man baratoon too direkt toozih dadam
nsrnakbari;@mehrdad_baghjery @ramosina
hamraznasiiim;#mahsaamini
hamraznasiiim;#nikashakarami
mahdimoghaddam315;از فنلاند کسی میره؟
hamraznasiiim;#opiran #iran_help
sepidehamiree;یه اتوبوس ۵۷ نفره داره از کپنهاگ میره برلین، الان ۳۰ نفر پر شده
elahefaskhodi;@royaroubi اره خوب میشه،من هم از وین میرم
elahefaskhodi;@marjan.vie من هم از وین میرم
zohre_persian;بچه های چه ها تیکت های گروهی
mahsa.salmasi;@shafiansanaz الان پرسیدم. اتوبوس هزینه اش هست ده هزار یورو. ما داریم سعی می‌کنیم بخشی از این هزینه رو کاهش بدیم.
mahsa.salmasi;@shafiansanaz @elhamtalaee
arezoott;@sepehr.niko لطفا بمن هم خبر بدید
elhamtalaee;@shafiansanaz slm mn az Rome hastam ma mikhaim hamlo naghl ok konim bara bachehaye Rome chejuri mitunam bahatun hamahang konam ?
rohafza;درود بر همه‌ی عزیزانی که از کل اروپا میرن به برلین. زنده باد ❤️❤️❤️🌺🌺🌺
roshmanak.ch;از رفت و برگشت قطار کمتر میشه، ولی مسئله اینه تا برلین با ون داغون میشیم
sara_soley;@hope_will_do manam dar hamin fekr bodam az Malmö
zeyaey_a;@parjoa18 نه عزیزم . نزدیک بازل هستم
shirin_nasirpour;@ykeshavarz همينطور أست همه هم وطن هستيم ✌🏼✌🏼
_masoud_geo;@sadeghbeigi_original کمترینش سیصد و چهل یورو رفت و برگشت
sara_soley;@hope_will_do shayad ma betonim khodemon begirim. Göteborg ham etemalan autobuss migiram. Fardah peygiri mikonam
mahsa_vakili068;@roshmanak.ch عزیزم الان دارن اوکی میکنن اتوبوس بگیرن اگه میای شما ادد کنم شمارو تو گروه
pooriavg;@weekendpartyberlin ✌️✌️
melika_aref;@pajalli کاش زودتر میدیدم کامنتتون رو بلیط قطار نمیخریدم باهم میرفتیم همه 🥲
marzyanaser;@little_red_pencil  من با خانواده ام‌می ریم  پنج نفریم متاسفانه جا نداریم
bhnmi;@spring_girllll_ بچه ها اگه کسی هست که جای خالی داره از نورنبرگ  لطفا به من هم اطلاع بده من هم وسیله ای ندارم ممنون میشم ❤️
minaazamanii;کسی اینجا هست که از پاریس بره؟
fendipresents;@dr.malekian__dr.fojtik 🗽🙏🏼👏🏼
minaazamanii;کسی اینجا هست که از پاریس بره؟
melika_aref;@pajalli  @assalrzz  میتونی اینجاام هماهنگ بشی✌🏻
ali_deshz;Az Regensburg kasi hast ?
sadaf_bavafa;کسی از یونان می‌ره بمنم اطلاع بده لطفاً
maryaabd7;من از هامبورگ میام میتونم سه نفر رو با خودم ببرم برلین، البته یکی از دوستان قراره یک اتوبوس رزرو کنند اگر مایل هستید میتونیم با هم هماهنگ کنیم ❤️آزادی❤️
gholamimitra19914;@_farahnaz_k_ کجا خانوم؟
maryam.mahdi54;ما ۳ نفر از هانوفر هستیم لطفا اگر کسی  خووست بره خبربده
rasool_shahbazi;@insstawien چشم، شروع کردم
sadaf_bavafa;@shafiansanaz میتونید از آتن به برلین کمک کنید برای یک نفر لطفاً ؟
pajalli;@melika_aref ما داريم رو اتوبوس چارتر بحث ميكنيم شايد هم آخر به قطار رسيديم. مهم رفته عزيز
hanna_am96;@pajalli ممنون میشم ❤️
kamygram;@adineh_08 ashkamooo darovordiii lanattiiii - khodaaa poshtooo panahettt azizammm
_shermineh_;@otrishaustria @nasimsoltani2021 @soheilagodarziii @royaroubi @elahekiyani @ng1366
bhnmi;نورنبرگ کسی هست که جای خالی داشته باشه با گروهی که بخوان بلیط گروهی بگیرن ؟
afirouzabadi;درود بر شما
farin.hashemi;😍😍😭😭❤️❤️
aram.swiss_;ما از سوییس میایم شش نفر هستیم🙌✌️ برای نابودی جمهوری اسلامی
melika_aref;@pajalli دقیقا 😍❤️ امیدوارم ببینمتون✌🏻
marzyanaser;@marzyanaser  شما که یک نفرهستین با هواپیما برید بهتره
arezoott;از بروکسل کسی‌ هست؟
_sara.bani;@asal_amrolahi میشه لینک گروه رو بفرستین
_mmahsa_h;@dr.malekian__dr.fojtik عذرخواهی میکنم این بلیط رو از آلمان فقط قبول میکنید؟ من ایتالیا هستم
aram.swiss_;@shimaaslanii لطفا متن رو دایرکت کنید
melika_hashemi1995;کسی از بخوم یا دورتموند با ماشین میره؟؟
kafman_studio;من از پاریسم. کسی هست؟
sevad22at;@mooonamoo ba train ya flyg?
babshayste;برای بچه های پاریسhttps://chat.whatsapp.com/HPKX6wybq5uGf58LJxppsJ
_shermineh_;@sezhams @ykeshavarz az stockholm daran Bus migiran daste jami bian. Azashun beporsid agar tu masirid, shoma ham beheshun molhagh beshid
ali7alavi;@sepehr.niko لطفا به منم خبر بدید
hmd_______a;@adineh_08 ما ایرانیم. داخل و خارج نداره✌🏻
mooonamoo;@sevad22at flyg :)
sevad22at;@my_experience_about_love ba chi? Ghatar
shaghayegh.59;"@shahrzad_ariyayi زن زندگی ازادی♥️🤍💚
این درد مشترک هرگز جداجدا درمان نمی شود
دوستان پاریسی عزیز سلام
ما در نظر داریم که اتوبوسی رو برای رفتن به برلین اجاره کنیم که بتونیم با هزینه کمترهمه در تظاهرات شرکت کنیم .
🚌ساعت حرکت :جمعه شب (حدود ساعت ۱۰شب) 
مسیر :حدودا ۱۲ساعت 
✌🏻تظاهرات 
🚌ساعت برگشت :شنبه (ساعت ۱۰ شب) 
براورد مبلغ حدودی که به من دادن ۶هزار یورو هست یعنی اگر ۳۰ نفر باشیم میشه نفری حدودا ۲۰۰ یورو
✅هر چقدر تعدادمون بیشتر باشه مثلا (۵۰نفر) مبلغ کمتر میشه (۱۲۰یورو) 
✅دوشب را در اتوبوس می خوابیم که کمی سخت خواهد بود 
✅هر پرچمی آزاد هست به جز ⛔️
مجاهدین 
✅خورد و خوراک با خود شخص می باشد(جوج نمی‌تونیم بزنیم متاسفانه)
✅به شخصه دی جی خواهم شد و هر آهنگ درخواستی داشتید تو راه پخش می کنیم
✅بعد از در نظر گرفتن تمام شرایط اگر‌مایل بودید با ما همراه بشید لطفا نظرتون عوض نشود چون ما رو شما حساب می کنیم و ازتون می خواهیم که مبلغ رو بپردازید قبل از سفر .
در صورت تمایل به من پیغام بدید که در گروه سفر اضافه تون کنم برای جزییات بیشتر ✌🏻
شماره تماس :0603224115"
ali7alavi;از لوون یا بروکسل کسی نمی ره با هم هماهنگ شیم بریم
naghibi_reza;"🌺برلین تا تهران🌺 

دوستان عزیز همونطور که میدونید شنبه هقته آینده فراخوان بزرگ راهپیمایی در برلینه 
برای اینکه افراد بیشتری بتونند از سراسر آلمان در این تظاهرات شرکت کنند ، قصد داریم از شرکت دویچه بان درخواست تیکت رایگان به برلین برای اون روز در نظر بگیرند . قبلا هم این کار رو برای تظاهرات اکراین انجام دادن . لطفا این متن آماده ایمیل رو با ایمیل شخصی به دویچه بان بفرستید بلکه اثر بخش باشه . ممنون دوستان .

ايميل به Deutsche Bahn 
براى درخواست بليط مجانى قطار به برلين 

Sehr geehrte Damen und Herren, 

im Namen der aktuellen Proteste im Iran und zur Unterstützung der iranischen Demonstranten bitten wir Sie, iranischen Staatsangehörigen in Deutschland am Samstag, den 22.10.22, die Reise nach Berlin kostenlos zu ermöglichen.
Vielen Dank im Voraus 
Mit freundlichen Grüßen

به این ایمیل آدرس 👇👇👇👇👇

🍃🍃kundendialog@bahn.de🍃🍃"
m.o.s.t.a.f.aa1990;@marjan.davoodi7 خیلی خیلی ممنونم ازتون❤️
sevad22at;@golkooh.m vi måste åka
ali7alavi;@shafiansanaz منم از لوون بلژیک می خوام برم اگه بتونید توی هزینه بلیط بهمون کمک کنید ممنون می شم
afsoonabedi;@adineh_08 دم شما گرم خدا واسمون و واسه خانواده هاتون حفظتون کنه
_mehrnazi;@arash_goldenberg
hessamasgri;ما از چارراه مولوی با یه پایپ شیشه خودمونو میرسونیم.
allabout_rey;@susuzahraie با ماشین میرید؟
ki.miya_amiri;Man az Weiden mikham berm tanham va daneshju am ,kasi hast komak kone baham brim?
freedom.pursuit2;بالاتر چند نفر از هلسینکی هستند
ryhne_ffm;@_shermineh_ آیدی درست: @saly.es
_z_a_h_r_a___p;@arshia_erfan منم زاربروکنم، بود بهم بگید
sevad22at;@ykeshavarz منم ميخوام بيايم @golkooh.m @nazaninaplu @baharlotus @instaazadeh @parissahmadii @vidamehrannia
morteza_7alipoor;سلام آقا ۲ یا ۳ نفر از کسی که جا داشته باشه ؟لطفا ممنون
maryammv88;@masoud.fakour خیلی خیلی ممنونم 🙏🏼🙏🏼
maryammv88;@masoud.fakour خیلی خیلی ممنونم 🙏🏼🙏🏼
ryhne_ffm;"@_shermineh_ ما به آیدی تگ شده 
یک گروه هستیم که فکر میکنم خیلی هم تعدادمون زیاده، ایشون کارهای هماهنگی رو انجام میدن"
susuzahraie;@allabout_rey یه اتوبوس هائی هست که از سه شهر حرکت میکنه
freedom.pursuit2;@minaazamanii پایین تر برید میبینید توی کامنتها، دارن اتوبوس کرایه میکنن
shauheendaneshfar;من هم استکهلم هستم، کسی جا داره؟ 👍🏼
babshayste;@minaazamanii بیا توی واتس آپ یه گروه تشکیل دادن https://chat.whatsapp.com/HPKX6wybq5uGf58LJxppsJ
shahin_dunya;از مونشن كسي ميره ؟؟؟؟ جا دارين ؟؟؟
arsalaanmajidi;من و همسرم از ورونای ایتالیا دوست داریم بیایم ولی هزینش برامون یه مقدار زیاده. کسی هست از شمال ایتالیا بخواد بره باهاش همسفر بشیم؟
soroush_nabavi3143;👏👏❤️❤️✌✌
_z_a_h_r_a___p;@sadeghaboutalebi میشه لطفا بگید چطوریه؟
_shermineh_;@monafarahmand ba @ykeshavarz  tamas begirid. Ishun az Stockholm yek Bus baraye chandin nafar ejare kardan
alireza.yousefi82;دوستان بیزحمت اگر کسی از سمت آخن خاست بره خبر کنه هزینه اش را هم میدم
mohammadreza.sahandrazian;من با همسرم و پسرم نزدیک نورنبرگ هستیم اگر کسی تونست ما رو خودش ببره ممنون میشم
maryammv88;@fatti_rahimi مرسی عزیز دلم… به امید اینکه نتیجه ای داشته باشه، به امید اینکه صدامونو بشنون… و به امید آزادی ❤️✊🏼
shafiansanaz;@elhamtalaee ما یکم میتونیم کمک کنیم هزینه چقدره؟
pourmaz;از رم یا میلان اگر کسی میره ممنون میشم بگه
shadi_1620b;@delaraashrafzade ❤️🔥
elhamtalaee;@shafiansanaz har bus taghriban 100000 vali ta yek Hadi ham ok betunim bokonim komak bozorgi mikone
agoud148149;دوستانی که تو آلمان هستند روزهای شنبه و یکشنبه با بلیط های HVV و DB میتونند تردد کنند و اگر همگی با هم به ایمیلشان درخواست بدیم احتمال موافقت زیاد هست پس دوستان خواهشا یک متن تهیه کنند و بفرستیم
noshinsedaghat;@negin_loo ❤️
_shermineh_;@atiazizi___ ba ishun tamas begirid. Bus ejare kardan @kim_i_
shadi_1620b;@hahasti6044 خودتون اقدام کنید به اجاره اتوبوس و بعد دیگران را مطلع کنید بهترین قدیمه که برمیدارید
minaazamanii;@babshayste میتونی منو اد کنی ؟
_shermineh_;@navidjabarimani ba ishun tamas begirid @kim_i_
freedom.pursuit2;@sabamoeini هموطن یه اتوبوس از دانمارک به سمت برلین کرایه کردن. اکانت ellisaaaaaa توی کامنتهای پایین تر مطرح کردن. دوست داشتید بهشون پیام بده
nazanin.kouhihabibi;@nazanin.kouhihabibi @zara_photos_italy @roz1366 اینجا
law.ashkan;از ایران کسی خاست برع من میام
papaverosheghi;من از ایتالیا با هواپیما میرم ، اگه کسی خواست با من بیاد ، پرواز ۶ صبح میرم ساعت ۹ شب بر میگردم ، کسی خواست که با هم‌باشیم خبر بده
nasrin.bardia;ما دونفر هستیم از دورتموند خودم و پسرم کسی هست که ما باهاشون تا برلین بریم ? پسرمن سیزده سالش هست
_shermineh_;@arminn_ma ba ishun gamas begir, bus keraye kardan @elaheflhi
lenajrm;من از لندن، اگر کسی میره و جا داره وممنون میشم، بلیط هواپیما خیلی گرونه
sezhams;@_shermineh_ مرسی اره حتمن مینویسیم الان همینجا دوباره ببینم چه جوری برنامه ؟
nazaninmousaii;❤️✌🏼
theycallmehdy;دمتون گرم🔥❤️
_shermineh_;@shauheendaneshfar ba ishun tamas begirid. Ye Bus keraye kardan @ykeshavarz
behroyzy01;@ma.ri5987 منم همینطور، بیلط گروهی میشه گرفت گویا
sezhams;آقا حرکت از استکلهم چه جوریه ؟ میشه ماهایی که این پایین هستیم سمت مالمو بهت ملحق بشیم؟
sssssofiaaaaa.iran;ما از کاسل میایم
laviedati;@belgiearvin میشه لطفا به منم بخر بدین
samantha_lampert;@thisisclozedd بدون ویزا با قسپیسه فک‌نمیکنم اجازه پرواز حتی داشته باشی
kiya_und_jawied_;از کلن اگه کسی میره منم با خودش ببره اگه جا داره اگرم کسی نیست با قطار میرم 🙌❤️
shahin_dunya;@ati_shafee  پي وي رو نگاه كنيد لطفا
mahs_sa93;کسی از بلژیک میره؟
shahin_dunya;@omidkps  زديم
sevad22at;@mooonamoo بچه ها دارن اتوبوس ميگيرن
parastoo_abdolvand;من برمرهافن هستم ميتونم ❤️به اميد آزادي
nali_esp;@the_lara_rz نه اینو نگید من شخصا خداروشکر میکنم کلی هموطن تو خارج داریم که صدامون شدن میخوام همتونو بغل کنم دمتون خیلی گرم
_shermineh_;@shaqayeqqmz ba ishun tamas begir, mikhan Bus ejare konan @kim_i_
amho007;@sana_khosronejad نه نیازی به ویزا نداره ، فقط فرانسه ویزا میخواد ، بله از اون مسیر گرون میشه ، پرواز خیلی به صرفه تر میشه
behroyzy01;کسی هست از مونیخ، بلیط گروهی بگیریم؟
zohreh_mahdavi_1353;@maryamrokn_ salam doste khobam ma az paris miyaim 3 nafarim chetor bayad n’a dostan faghat baraye khab ja ok konim
pm.kish.dk;@atefemrdn سلام من هم با چهار تا از دوستایه نابیم می خوایم بریم اگه تشریف بیارین که یه راهی رو پیدا کنیم با هم بریم 😅♥️♥️
zohrehhejazi;سلام به همگی  شرکت اتوبسرانی مسافری univers  در شهر Bonn المان هست ، اتوبوسای تمیز و نو و خوبی هم داره مکاتبه کنین شاید از بن و کلن بتونن با قیمت مناسب بلیط بدن  با تشکر از دوستان مسلط به زبان آلمانی
agoud148149;هموطنان عزيز و دوست داشتنی من به ایرانی بودنم افتخار میکنم و یک خواهش از تک تک شما دارم بیایید دیگر از کلمه های به امید آزادی و انشالله پیروز می‌شویم استفاده نکنیم و به جاش بگیم همه با هم دست در دست شانه به شانه به سوی آزادی و پیروزی، زنده باد شرف و غیرت و اتحاد ایرانی
1991asa_rz;@farshad_s_vakili کجا گروه بزنیم؟میتونیم توی دایرکت هماهنگ شیم‌ برای گروه زدن؟؟
s.natanzi;@sargoli61 chashm😂
argha1z;@samira__bsh میشه به منم بدین لینکو؟🥺
hanna_am96;@hedieh.amouy
atefemrdn;@pm.kish.dk Vaghean?? Awlie be man pv payam bedin ❤️❤️❤️ 😂😂😂
marjan.davoodi7;@m.o.s.t.a.f.aa1990 امیدوارم کارتون راه بیفته.✌️
elaheflhi;@arminn_ma؟  چند نفرین
mahyar66;#mahsaamini #womanlifefreedom
raminrahif;@faridsofiani @samannasseri commentlara bakhin 🥹
vahid_esgandarzadeh;@_ashwen_ بلونیا گروه داره
samira__bsh;@argha1z براتون لینک دایرکت فرستادم
vahid_esgandarzadeh;@samiraghayourfar میلان قراره اتوبوس اجاره کنن
elmiranasri;@elaheflhi میشه اطفا به من هم خبر بدید، من از فرانکفورت میام
_shermineh_;@hsh_._dan ba ishun tamas begirid. Bus keraye kardan az Paris be Berlin @ghodsilida
saroghaderyan;از سوئد کسی هست؟ یا اگه سه نفر دیگه هست میتونیم باهم بریم، ترجیحا گواهی نامه داشته باشن
_shermineh_;@sadegh_tarokh ba ishun tamas begirid. Bus keraye kardan az Paris be Berlin @ghodsilida
joshua.nia;@elmira_hassanloo کار سخت شما انجام میدین.شرمنده که دستمون بسته است نمیتونیم اونجا کنارتون باشیم
joshua.nia;@elmira_hassanloo کار سخت شما انجام میدین.شرمنده که دستمون بسته است نمیتونیم اونجا کنارتون باشیم
samin____asadiii;کسی از بازل میره؟
fate.mola;کسی از بوداپست می خواد بره؟
vahid_esgandarzadeh;@masire.farda دمتون گرم ، ❤️❤️❤️
an_autumn_paper;@nassim.mim درود،منم دورتمندم چجوری است پلنتون شاید حتی دونفر باشیم
mpe.7192;ما از فرانسه ایم و احتمالا با قطار بیایم
mahnaz.marandi;@mina_ntgh ایول کی؟
niloo.matin;من از دوسلدورف یا کلن میرم
elaheflhi;بله حتما، چند نفر؟
joshua.nia;@shr8968  بچه ها یه گروه اینستاگرامی بزنیم‌ با هم اتوبوس کرایه کنیم منم یوتبورم
elmiranasri;@hanie_ab6 منم🙋🏻‍♀️
joshua.nia;@shr8968  بچه ها یه گروه اینستاگرامی بزنیم‌ با هم اتوبوس کرایه کنیم منم یوتبورم
aaso;@mahnaz.marandi منم میخوام برم از یوتبوری
shaghayegh.59;"زن زندگی ازادی♥️🤍💚
این درد مشترک هرگز جداجدا درمان نمی شود
دوستان پاریسی عزیز سلام
ما در نظر داریم که اتوبوسی رو برای رفتن به برلین اجاره کنیم که بتونیم با هزینه کمترهمه در تظاهرات شرکت کنیم .
🚌ساعت حرکت :جمعه شب (حدود ساعت ۱۰شب) 
مسیر :حدودا ۱۲ساعت 
✌🏻تظاهرات 
🚌ساعت برگشت :شنبه (ساعت ۱۰ شب) 
براورد مبلغ حدودی که به من دادن ۶هزار یورو هست یعنی اگر ۳۰ نفر باشیم میشه نفری حدودا ۲۰۰ یورو
✅هر چقدر تعدادمون بیشتر باشه مثلا (۵۰نفر) مبلغ کمتر میشه (۱۲۰یورو) 
✅دوشب را در اتوبوس می خوابیم که کمی سخت خواهد بود 
✅هر پرچمی آزاد هست به جز ⛔️
مجاهدین 
✅خورد و خوراک با خود شخص می باشد(جوج نمی‌تونیم بزنیم متاسفانه)
✅به شخصه دی جی خواهم شد و هر آهنگ درخواستی داشتید تو راه پخش می کنیم
✅بعد از در نظر گرفتن تمام شرایط اگر‌مایل بودید با ما همراه بشید لطفا نظرتون عوض نشود چون ما رو شما حساب می کنیم و ازتون می خواهیم که مبلغ رو بپردازید قبل از سفر .
در صورت تمایل به من پیغام بدید که در گروه سفر اضافه تون کنم برای جزییات بیشتر ✌🏻
شماره تماس :0603224115"
_shermineh_;@tuska.mam ba ishun tamas begirid. Bus kerayeh kardab @sepidehamiree
shauheendaneshfar;@_shermineh_ مرسی ✌🏼
delaram.pourkhabbaz;@otrishaustria @arashzarei.1
aaso;من از یوتبوری میخوام برم. یک نفرم کسی هست که میخواد بره؟
soudabeh.mortazavian;@vahid_esgandarzadeh قیمتش؟
sepisworld;@amin_scuba خوب شما خود آلمانی خیلی ها از جاهای دور میخوان بیان و دانشجو هستن. از همین سوییس به برلین رفت و برگشت با قطار میشه ۲۵۰ یورو که برای یه دانشجویی که از خانوادش تو ایران کمک هزینه میگیره یا هزینه زندگیش رو با کار دانشجویی حقوق پایین در میاره این مبلغ اصلا قابل پرداخت نیست. لطفا ملاحظه همه چی رو بکنید قبل کامنت های اینجوری گذاشتن.
fereshtehn;من هنوز نمیدونم با ماشین برم یا قطار ولی اگه کسی از ایتالیا (bolzano) میره میتونیم همسفر باشیم ، میتونیم با هم Airbnb بگیریم . اگر هم با ماشین بریم ۳ نفر میتونن با من بیان 💪🏼
monafarahmand;@_shermineh_ ممنونم
_shermineh_;@_royaayoubi age rahe hal peyda kardid lotgan be manam begid ke be doostanam dar Italia khabar bedam🙏🏻
halfmilkyway;"از گوتنربورگ سوئد ❤️‍🩹
دل و جونمون ولی پیش ایرانه 💔💔💔💔💔✌🏼"
micro.ysr;بچه ها من سه نفر جا دارم اما تا جمعه نمیتونم قطعی بگم میرم یا نه چون کرونا پوزتیوم و واقعا حالم خوب نیست. اما میتونید به من مسیج بدین و اگر منفی شد جوابم حتما حتما میرم.
joshua.nia;"@mina_ntgh مينا يه گروه اينستايي بزنيم با هم يا اتوبىس يا مينيبوس كرايه كنيم
الان خيليا هستند از يوتبور
بچها يوتبور به من دايركت پيام بدن با هم گروه بزنيم هماهنگ شيم . زير اين كامنت سخته"
marjan.davoodi7;اتوبوس گرفتن. به ایشون پیام بدین: @shaghayegh.59
nailsaloviyaa;😭😭😭😍😍😍😍😭😍🔥🔥🔥🔥
_shermineh_;@neginn1777 ba in 2 nafar tamas begirid. 2 ta Bus keraye kardan be samte Berlin @shaghayegh.59  @ghodsilida
rezababaee82;ما هم همه از استکهلم میریم با اتحاد قطرهاست که دریا دریا میشه
mojdeh.mj;@mahsa_vakili068 🙌🙌🙌
foto_graphiefrauen;دوستان ما دو نفریم کسی هست از فرانکفورت بخواد بره؟
elaheghazaeii;@shimaaslanii من ایرانم منم ایمیل زدم ما هم ازین جا ایمیل میزنیم تا شما راحت تر برید ✌🏻❤️
